Temperature (°C),RPM,Torque (Nm),Vibrations (mm/s),Power Output (MW),Fuel Flow Rate (kg/s),Air Pressure (kPa),Exhaust Gas Temperature (°C),Oil Temperature (°C),Fault
957.9126097012222,14814.354058112693,3191.08523334372,1.3582800491112117,7091.079971455352,2.936808402228229,71.84026047178321,596.2402653020043,118.85272190450578,0.0
924.601615479606,14775.33096604521,3328.100405722796,0.3464763998153921,7376.067747417546,6.553722648936455,127.37886470232824,523.527666032384,126.17188989035208,1.0
890.5946971445487,15033.023420954009,3097.5966796002604,1.95757566650502,6984.936514965011,4.435303881390849,181.1815250575805,491.15345533843873,109.45152040384006,1.0
936.83533569698,15766.22697131312,3481.959800118472,1.2291758978746712,8234.605277048382,1.8299781419033616,127.78505099048796,571.8859859163458,125.12466576697996,0.0
871.1997267154469,14198.65002777978,3479.2842195115377,3.1336117789427007,7321.248796839148,0.5031329854721678,142.19380904495017,478.6839667766925,95.81854955963512,0.0
839.8401012500335,15355.4634835795,3354.6397494758207,1.5836461314618706,7661.129364624646,1.181351359407018,146.176976310843,521.0548649088649,109.66201631332989,0.0
889.6757298443281,15106.344063506256,3514.730006396584,2.755225485505004,7964.20811504345,3.2222478734872304,111.312536381388,466.6171630508639,105.35803657329129,0.0
923.3356252655368,14531.653023730258,3270.601459374884,2.2714649685867374,7018.585991992534,2.3037164502457017,164.6885832234997,503.82510810116446,85.97642827062029,0.0
1218.6354685615156,14622.393310595698,3401.61866296769,3.224543220366148,7460.970897386435,4.06499283868589,-142.02323619977247,776.3089568747857,125.76684967514946,1.0
848.8741337597941,14768.842877191544,3335.3515972187056,2.651465635424905,7388.892551926938,2.423951226346839,143.07276078975983,535.8763389559674,131.38524150378782,1.0
1061.4983212172424,14371.060659527851,3558.876777978468,2.6258759408503747,7671.72510841704,2.398691188350433,-8.175524979733126,650.6244151238185,111.69991395676728,1.0
826.2891475405788,14989.790256697526,3709.227190642387,1.3569405352435622,8198.299269439787,1.5715509583228502,165.62265619976307,513.3379182300504,102.30871864981172,0.0
988.61354496735,15246.273750801716,3260.2821645623835,1.9570453974784268,7456.07315786617,4.445893539628322,66.19662353881245,582.5423801526277,135.5867713272108,0.0
932.54721864767,14986.44577253381,3421.180052434803,3.0743072454965694,7540.730761781659,1.2799955474989644,148.13124048434057,443.54163337929566,115.73123578011932,0.0
845.8845519342734,14961.750687945036,3470.509136457456,0.9998503285515892,7745.895832707354,2.384843737389389,148.08887447311403,516.5523829021225,110.64476978997676,0.0
1113.7926926121042,15651.249375190611,3619.798075789858,0.0347232716644256,8498.154355803328,0.5706660207618768,68.9629857387522,512.2523919741266,122.57201058048956,0.0
1289.0842031011082,14537.130674635178,3609.2234052781873,3.2934495974443143,7870.162841472115,4.745289057155516,-202.8760565338929,884.5876267229637,119.90199007026672,1.0
906.523813129608,14563.544186739871,3316.0439773959333,1.5902594746523564,7138.964905743544,0.7412004454218009,161.5450587842303,526.1222932316838,119.53831083109432,0.0
1009.1468329602228,14921.178154578796,3652.5919208522055,2.232230031459157,8175.14621655164,5.519876514898472,147.08330724804784,511.66558521348594,130.73053231094812,1.0
922.8448595233756,14216.126370550272,3373.7918676186514,1.7951062005479543,7122.394353393232,1.2199988504284778,126.74541585926382,542.6456902550905,119.43547197050704,0.0
1203.8583225069342,14896.17622233199,3421.326603399118,0.328690913277514,7644.70259975787,2.3711762469070785,-169.9137562627488,803.6228503526961,134.34336012891836,1.0
775.3588723448655,14881.944113554177,3013.2588060702174,1.5073513523196107,6726.472372741793,2.6670805088213525,175.5646682174296,559.7244568324112,107.7079274918428,0.0
910.3999884813022,14346.18367664132,3579.84059942682,3.358005894219158,7703.557615871238,2.6943661775494667,137.87492572814773,518.80660521252,115.8495214393662,0.0
1066.0516391957535,15709.811342252606,3514.5545160463903,2.135846491883365,8281.948259872604,1.823289576710313,51.9136739242546,534.7713533325983,107.00950386863,1.0
976.6214182423322,15314.01495198217,3769.780245819007,1.2723783849388972,8490.709029702177,2.548796345090326,160.61725740030812,449.9238438123015,131.543782250918,0.0
912.4373073307,14997.977749522372,3213.693738382121,2.857158941884532,7193.686896918637,3.4752108423897363,153.96638779814683,507.71522167546055,107.91130581701944,0.0
868.54354352675,14371.629630865602,3562.1661219597854,1.7193959756751669,7633.045109293848,1.471094389525566,167.56582671948024,478.0060110318992,112.82091735408255,0.0
898.0153871256268,15445.898325485809,3699.9502021986914,0.1848076044465032,8383.766314590925,4.024560357515409,130.47706816625723,494.2086230123865,115.79230574034574,0.0
925.599420323149,14438.182898395047,3567.5451106763867,3.4296445628533245,7641.340687402836,2.557227524872601,123.3541038902097,513.8419904429342,111.73608126002776,0.0
908.1330014752796,14420.031389570288,3795.327836104048,2.686269330338939,8209.311979549537,2.3213173675832928,170.72241243588903,494.5682856939448,126.5916414508368,0.0
884.1363238976274,14968.99454683846,3290.0821368949937,5.38673213763273,7387.383234874768,2.65291876613781,135.33771133661693,512.495153447279,140.81644605924538,1.0
952.7239196751736,14586.975855671328,3616.095850952896,1.897635364695609,7829.107483426786,1.7216463072171626,121.26327686064292,499.2892358535348,124.7102081992221,0.0
943.4460189828905,15266.97942045364,3744.691299853228,2.3578725112924626,8494.051323481246,3.9858089574189712,175.47799480799156,508.3002577036446,133.59927579427398,0.0
851.3197188228687,14503.691411998005,3511.041163750519,2.0488553818527104,7611.724030852704,4.1450063582566425,148.0810556600038,498.3174988305957,127.385166516824,0.0
832.2148726051729,15736.769767591892,4265.814314033161,2.585004734469006,10069.520659685668,2.915374417836364,161.77789141191147,453.5866148334959,125.6037115922995,0.0
892.8499229814154,15148.294066992525,3266.9918052716644,5.090660507318192,7423.402887106492,2.4470141063490427,158.09181345157123,474.96420817032185,137.10963496660676,1.0
887.3170973685314,14794.71023095186,3544.0462619422005,2.6046542686494707,7821.713285148764,1.7348915620534555,153.661745327085,520.1659851147492,132.10502926968348,0.0
856.1064004035297,14783.699422463344,3790.283774296746,2.428527347965094,8405.162406756448,2.8066199316083127,144.18023153198223,502.9469978646108,125.05364068990946,1.0
873.260772971999,14993.863956187328,3480.5478447853425,1.857065912081564,7734.092782076983,2.4275227580413583,149.31916833481543,463.2742920313511,103.7547284528622,0.0
869.6080197856734,15124.878877636338,3281.196293881273,1.57662933119976,7380.879164744178,3.153673471157479,149.11133594094636,515.2299431746131,128.50264027916285,0.0
915.036419448614,15006.839140115037,3539.2544944972765,-0.0702907789953766,7958.98647779624,0.6316179941231825,145.49409660434645,482.17473534414574,124.15557931982728,0.0
941.9725389622322,15340.46903627882,3575.6080927259063,0.4894276947226412,8108.423760969144,1.9895593085925527,172.0083556379046,497.2592747327744,121.1582466769556,0.0
1004.7642577876694,16302.20520116854,3572.9038967002843,3.097567976102867,8736.931873209407,2.6583913591122883,175.25461402519343,480.7472465716704,131.39280859474786,1.0
930.66853687279,14870.516985230395,3862.424805806249,4.088485433556356,8568.05314255245,2.6526932804665013,181.17733800807065,477.06289183677205,123.8431263396222,0.0
932.0708290250798,15348.116946236823,3703.120323648253,1.7003209098334564,8452.922766164455,2.8139659031643287,204.36106896720187,478.23901416847406,125.07136650839524,0.0
935.1043833256348,15680.913790900646,3699.5872655723406,3.608518622718156,8701.936346003058,3.280544136674901,143.29402052235486,505.0867015823222,136.13358583822406,1.0
995.7810003310948,14864.483688935725,4085.283796297701,4.093842468630189,9108.845153211088,2.797487110599106,111.99263752793787,558.7128490041514,122.0506806696326,0.0
877.2512734279239,14326.360435725945,3259.3226914747643,2.5566633179145883,6972.616141794453,2.241212048745393,147.02910264455596,460.26268177732953,124.92423278829408,0.0
1257.1088804014266,14987.801549945518,3145.8559356172987,2.894191157473668,7072.419670162538,3.4780524627818274,-173.8361610678815,849.0607383995504,119.31181870546231,1.0
